,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo
0,13328,1399.0,LEXUS,RX 450,2010,Jeep,True,Hybrid,3.5,186005,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
1,16621,1018.0,CHEVROLET,Equinox,2011,Jeep,False,Petrol,3.0,192000,6.0,Tiptronic,4x4,4,Left wheel,Black,8,False
2,8467,,HONDA,FIT,2006,Hatchback,False,Petrol,1.3,200000,4.0,Variator,Front,4,Right-hand drive,Black,2,False
3,3607,862.0,FORD,Escape,2011,Jeep,True,Hybrid,2.5,168966,4.0,Automatic,4x4,4,Left wheel,White,0,False
4,11726,446.0,HONDA,FIT,2014,Hatchback,True,Petrol,1.3,91901,4.0,Automatic,Front,4,Left wheel,Silver,4,False
5,39493,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,160931,4.0,Automatic,Front,4,Left wheel,White,4,False
6,1803,761.0,TOYOTA,Prius,2010,Hatchback,True,Hybrid,1.8,258909,4.0,Automatic,Front,4,Left wheel,White,12,False
7,549,751.0,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.4,216118,4.0,Automatic,Front,4,Left wheel,Grey,12,False
9,26657,,LEXUS,RX 350,2007,Jeep,True,Petrol,3.5,128500,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
10,941,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,184467,6.0,Automatic,Rear,4,Left wheel,White,12,False
11,8781,,FORD,Transit,1999,Microbus,False,CNG,4.0,0,8.0,Manual,Rear,2,Left wheel,Blue,0,False
12,3000,,OPEL,Vectra,1997,Goods wagon,False,CNG,1.6,350000,4.0,Manual,Front,4,Left wheel,White,4,False
13,1019,1055.0,LEXUS,RX 450,2013,Jeep,True,Hybrid,3.5,138038,6.0,Automatic,Front,4,Left wheel,White,12,False
15,549,1079.0,TOYOTA,CHR,2018,Jeep,True,Petrol,2.0,74146,4.0,Automatic,Front,4,Left wheel,White,12,False
16,7683,810.0,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,121840,4.0,Automatic,Front,4,Left wheel,Blue,12,False
17,28382,810.0,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,54317,4.0,Automatic,Front,4,Left wheel,White,4,False
18,549,2386.0,HYUNDAI,Sonata,2006,Sedan,True,Petrol,3.3,295059,6.0,Automatic,Rear,4,Left wheel,Blue,12,False
19,941,1850.0,LEXUS,RX 400,2008,Jeep,True,Hybrid,3.5,364523,6.0,Automatic,4x4,4,Left wheel,Black,12,False
20,18826,531.0,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,112645,4.0,Automatic,Front,4,Left wheel,Silver,4,False
21,20698,586.0,TOYOTA,Prius,2012,Sedan,True,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,4,Left wheel,White,12,False
