Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Engine volume,Turbo,Mileage
13328,1399,LEXUS,other,2010,Jeep,Yes,Hybrid,6.0,Automatic,4x4,4,Left wheel,Silver,12,3,0,186005.0
16621,1018,CHEVROLET,other,2011,Jeep,No,Petrol,6.0,Tiptronic,4x4,4,Left wheel,Black,8,2,0,192000.0
8467,0,HONDA,FIT,2006,Hatchback,No,Petrol,4.0,Variator,Front,4,Right-hand drive,Black,2,1,0,200000.0
3607,862,FORD,other,2011,Jeep,Yes,Hybrid,4.0,Automatic,4x4,4,Left wheel,White,0,2,0,168966.0
11726,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,91901.0
39493,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,White,4,1,0,160931.0
1803,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,White,12,1,0,258909.0
549,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Grey,12,2,0,216118.0
1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,Black,12,2,0,398069.0
26657,0,LEXUS,other,2007,Jeep,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,Silver,12,3,0,128500.0
941,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,6.0,Automatic,Rear,4,Left wheel,White,12,3,0,184467.0
8781,0,FORD,other,2005,Microbus,No,CNG,8.0,Manual,Rear,2,Left wheel,Blue,0,3,0,0.0
3000,0,other,other,2005,other,No,CNG,4.0,Manual,Front,4,Left wheel,White,4,1,0,350000.0
1019,1055,LEXUS,other,2013,Jeep,Yes,Hybrid,6.0,Automatic,Front,4,Left wheel,White,12,3,0,138038.0
59464,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,White,4,1,0,76000.0
549,1079,TOYOTA,other,2018,Jeep,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,White,12,1,0,74146.0
7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Blue,12,1,0,121840.0
28382,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,White,4,1,0,54317.0
549,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,6.0,Automatic,Rear,4,Left wheel,Blue,12,3,0,295059.0
941,1850,LEXUS,other,2008,Jeep,Yes,Hybrid,6.0,Automatic,4x4,4,Left wheel,Black,12,3,0,364523.0
18826,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,112645.0
20698,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,4.0,Automatic,Front,4,Left wheel,White,12,1,0,187000.0
17562,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,12,2,0,39709.0
7840,0,FORD,other,2005,Microbus,No,Diesel,4.0,Manual,Front,2,Left wheel,White,0,1,1,230000.0
4704,0,other,other,2005,Sedan,No,Petrol,4.0,Automatic,Front,4,Left wheel,Green,4,1,0,0.0
20385,0,MERCEDES-BENZ,other,2006,Sedan,Yes,Diesel,4.0,Tiptronic,Rear,4,Left wheel,Black,8,2,1,210000.0
549,2455,LEXUS,other,2008,Jeep,Yes,Petrol,8.0,Automatic,4x4,4,Left wheel,White,0,4,0,0.0
30,0,TOYOTA,Prius,2008,Sedan,No,Hybrid,4.0,Automatic,Front,4,Left wheel,White,8,1,0,169000.0
14454,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,158787.0
12074,1537,TOYOTA,other,2009,Jeep,Yes,Hybrid,6.0,Automatic,4x4,4,Left wheel,Blue,12,3,0,420550.0
15681,1288,MERCEDES-BENZ,other,2007,other,No,Diesel,6.0,Manual,Rear,4,Left wheel,White,4,1,1,180000.0
