Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Engine_volume,Turbo,Run,bins_airbags,bins_mileage
13328,1399,LEXUS,other,2010,Jeep,Yes,Hybrid,186005 km,6.0,Automatic,4x4,4,Left wheel,Silver,12,(3-4],No,186005.0,(8-12],(100.000-200.000]
16621,1018,CHEVROLET,other,2011,Jeep,No,Petrol,192000 km,6.0,Tiptronic,4x4,4,Left wheel,Black,8,(2-3],No,192000.0,(4-8],(100.000-200.000]
8467,0,HONDA,FIT,2006,Hatchback,No,Petrol,200000 km,4.0,Variator,Front,4,Right-hand drive,Black,2,(1-2],No,200000.0,[0-4],(100.000-200.000]
3607,862,FORD,other,2011,Jeep,Yes,Hybrid,168966 km,4.0,Automatic,4x4,4,Left wheel,White,0,(2-3],No,168966.0,[0-4],(100.000-200.000]
11726,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,91901 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,91901.0,[0-4],[0-100.000]
39493,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,160931 km,4.0,Automatic,Front,4,Left wheel,White,4,(1-2],No,160931.0,[0-4],(100.000-200.000]
1803,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,258909 km,4.0,Automatic,Front,4,Left wheel,White,12,(1-2],No,258909.0,(8-12],(200.000-300.000]
549,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,216118 km,4.0,Automatic,Front,4,Left wheel,Grey,12,(2-3],No,216118.0,(8-12],(200.000-300.000]
1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,398069 km,4.0,Automatic,Front,4,Left wheel,Black,12,(2-3],No,398069.0,(8-12],(300.000-400.000]
26657,0,LEXUS,other,2007,Jeep,Yes,Petrol,128500 km,6.0,Automatic,4x4,4,Left wheel,Silver,12,(3-4],No,128500.0,(8-12],(100.000-200.000]
941,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,184467 km,6.0,Automatic,Rear,4,Left wheel,White,12,(3-4],No,184467.0,(8-12],(100.000-200.000]
8781,0,FORD,other,<2006,Microbus,No,CNG,0 km,8.0,Manual,Rear,2,Left wheel,Blue,0,(3-4],No,130000.0,[0-4],(100.000-200.000]
3000,0,other,other,<2006,other,No,CNG,350000 km,4.0,Manual,Front,4,Left wheel,White,4,(1-2],No,350000.0,[0-4],(300.000-400.000]
1019,1055,LEXUS,other,2013,Jeep,Yes,Hybrid,138038 km,6.0,Automatic,Front,4,Left wheel,White,12,(3-4],No,138038.0,(8-12],(100.000-200.000]
59464,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,76000 km,4.0,Automatic,Front,4,Left wheel,White,4,(1-2],No,76000.0,[0-4],[0-100.000]
549,1079,TOYOTA,other,2018,Jeep,Yes,Petrol,74146 km,4.0,Automatic,Front,4,Left wheel,White,12,(1-2],No,74146.0,(8-12],[0-100.000]
7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,121840 km,4.0,Automatic,Front,4,Left wheel,Blue,12,(1-2],No,121840.0,(8-12],(100.000-200.000]
28382,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,54317 km,4.0,Automatic,Front,4,Left wheel,White,4,(1-2],No,54317.0,[0-4],[0-100.000]
549,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,295059 km,6.0,Automatic,Rear,4,Left wheel,Blue,12,(3-4],No,295059.0,(8-12],(200.000-300.000]
